metric,no_ips,with_ips,delta,delta_percent
throughput_bps,1320350.7932680838,2730803.022172286,1410452.2289042023,106.82405282713563
avg_delay_s,0.004112523958239603,0.002003882037307788,-0.002108641920931815,-51.27366897661637
avg_jitter_s,0.007260131053478234,0.0034867991770462918,-0.0037733318764319426,-51.97333007679232
packet_loss_pct,48.932038834951456,47.745136569070546,-1.18690226588091,-2.4256137576534473
