"No.","Time","Source","Destination","Protocol","Length","Info"
"1635","44.322417","192.168.18.24","192.168.18.21","TCP","66","58690  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500050874 TSecr=4274463417"
"1636","44.322417","192.168.18.24","192.168.18.21","TCP","66","58706  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500050874 TSecr=4274463418"
"1637","44.322417","192.168.18.24","192.168.18.21","HTTP","450","GET /?7FERq5=2DaKn5D&E1l=5MV3yGg7mGNr7Lv&rEw1psx=RiTGAh1ajd&AM6fPIuw6=TQVcwa4T1Gy2C6CpC4J&52uC=GUCPKiLo1qL HTTP/1.1 "
"1638","44.322446","192.168.18.21","192.168.18.24","TCP","74","80  >  58748 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274463428 TSecr=3500050872 WS=128"
"1639","44.322632","192.168.18.21","192.168.18.24","TCP","66","80  >  58656 [ACK] Seq=1 Ack=564 Win=64640 Len=0 TSval=4274463428 TSecr=3500050872"
"1640","44.322822","192.168.18.21","192.168.18.24","TCP","66","80  >  58670 [ACK] Seq=1 Ack=238 Win=65024 Len=0 TSval=4274463428 TSecr=3500050873"
"1641","44.322990","192.168.18.21","192.168.18.24","TCP","74","80  >  58752 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274463429 TSecr=3500050873 WS=128"
"1642","44.323287","192.168.18.21","192.168.18.24","TCP","66","80  >  58676 [ACK] Seq=1 Ack=385 Win=64896 Len=0 TSval=4274463429 TSecr=3500050874"
"1643","44.323566","192.168.18.24","192.168.18.21","TCP","66","58720  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500050874 TSecr=4274463418"
"1644","44.323567","192.168.18.24","192.168.18.21","TCP","66","58724  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500050874 TSecr=4274463419"
"1645","44.323567","192.168.18.24","192.168.18.21","HTTP","332","GET /?sHypx=0AqMmUlKR&cRCTarDB=UBPMf HTTP/1.1 "
"1646","44.323567","192.168.18.24","192.168.18.21","TCP","74","58760  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500050875 TSecr=0 WS=128"
"1647","44.323567","192.168.18.24","192.168.18.21","HTTP","752","GET /?86sFMytwo=XHYT44&DRnhQiabg=2BVs0p0E5qY&6XbFug=dPfBbunGXMUvJEwdi7s&Te16xaCgL=RYAV HTTP/1.1 "
"1648","44.323567","192.168.18.24","192.168.18.21","TCP","74","58770  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500050875 TSecr=0 WS=128"
"1649","44.323567","192.168.18.24","192.168.18.21","HTTP","621","GET /?L8hsx3St=kiwNrA2CnAejPJiO4RK&bmTmSif=71mgsXPjUcTYERcT7U&A1q=KiK0hS&yVc7Jk5yR=q8lpMnu2F0rKiQK0R1rf&Jf05yb2=Xd3L HTTP/1.1 "
"1650","44.323567","192.168.18.24","192.168.18.21","TCP","74","58774  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500050876 TSecr=0 WS=128"
"1651","44.323606","192.168.18.21","192.168.18.24","TCP","66","80  >  58724 [ACK] Seq=1 Ack=267 Win=64896 Len=0 TSval=4274463429 TSecr=3500050874"
"1652","44.323777","192.168.18.21","192.168.18.24","TCP","74","80  >  58760 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274463429 TSecr=3500050875 WS=128"
"1653","44.323954","192.168.18.21","192.168.18.24","TCP","66","80  >  58690 [ACK] Seq=1 Ack=687 Win=64512 Len=0 TSval=4274463430 TSecr=3500050875"
"1654","44.324136","192.168.18.21","192.168.18.24","TCP","74","80  >  58770 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274463430 TSecr=3500050875 WS=128"
"1655","44.324312","192.168.18.21","192.168.18.24","TCP","66","80  >  58706 [ACK] Seq=1 Ack=556 Win=64640 Len=0 TSval=4274463430 TSecr=3500050876"
"1656","44.324487","192.168.18.21","192.168.18.24","TCP","74","80  >  58774 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274463430 TSecr=3500050876 WS=128"
"1657","44.324728","192.168.18.24","192.168.18.21","TCP","74","58790  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500050877 TSecr=0 WS=128"
"1658","44.324728","192.168.18.24","192.168.18.21","HTTP","359","GET /?MuY6q7tgD=JmQHo1hvskO85U HTTP/1.1 "
"1659","44.324729","192.168.18.24","192.168.18.21","TCP","74","58804  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500050877 TSecr=0 WS=128"
"1660","44.324729","192.168.18.24","192.168.18.21","TCP","74","58818  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500050878 TSecr=0 WS=128"
"1661","44.324756","192.168.18.21","192.168.18.24","TCP","74","80  >  58790 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274463430 TSecr=3500050877 WS=128"
"1662","44.324931","192.168.18.21","192.168.18.24","TCP","66","80  >  58720 [ACK] Seq=1 Ack=294 Win=64896 Len=0 TSval=4274463431 TSecr=3500050877"
"1663","44.325098","192.168.18.21","192.168.18.24","TCP","74","80  >  58804 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274463431 TSecr=3500050877 WS=128"
"1664","44.325264","192.168.18.21","192.168.18.24","TCP","74","80  >  58818 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274463431 TSecr=3500050878 WS=128"
"1665","44.328029","192.168.18.24","192.168.18.21","TCP","66","58730  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500050882 TSecr=4274463427"
"1666","44.328029","192.168.18.24","192.168.18.21","HTTP","505","GET /?Xka=dHTqo4qYRd&Pg3=EewBhEI0AJo&hCHsUa1BD=C2DXSQPJLN5C5jD&WYm8KL=q3aP7anE HTTP/1.1 "
"1667","44.328029","192.168.18.24","192.168.18.21","TCP","74","58832  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500050883 TSecr=0 WS=128"
"1668","44.328029","192.168.18.24","192.168.18.21","TCP","66","58740  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500050883 TSecr=4274463428"
"1669","44.328029","192.168.18.24","192.168.18.21","TCP","66","58748  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500050883 TSecr=4274463428"
"1670","44.328029","192.168.18.24","192.168.18.21","HTTP","482","GET /?eAM=EwlJcuvDgIM1IQJNdGc&ccd3=wjRwsmjVUvkuXrbkvMBt&vo18Kadd8L=MALVkxIBeh&7KRN=J8Vf8YOf1Ejr HTTP/1.1 "
"1671","44.328029","192.168.18.24","192.168.18.21","HTTP","408","GET /?MSDKVNyxB=B3J8Ci80OelykrmU&lSv0od2u5=GWYPWGCSksI4IYV8YKG&lij=WaM2scc7qm3nSBT&T0opEoE8=p3Drwx2TMrRrDKal&11RWKVh74=HpS5by6GaTL2Adw HTTP/1.1 "
"1672","44.328029","192.168.18.24","192.168.18.21","TCP","74","58844  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500050884 TSecr=0 WS=128"
"1673","44.328088","192.168.18.21","192.168.18.24","TCP","66","80  >  58730 [ACK] Seq=1 Ack=440 Win=64768 Len=0 TSval=4274463434 TSecr=3500050882"
"1674","44.328324","192.168.18.21","192.168.18.24","TCP","74","80  >  58832 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274463434 TSecr=3500050883 WS=128"
"1675","44.328510","192.168.18.21","192.168.18.24","TCP","66","80  >  58740 [ACK] Seq=1 Ack=417 Win=64768 Len=0 TSval=4274463434 TSecr=3500050883"
"1676","44.328687","192.168.18.21","192.168.18.24","TCP","66","80  >  58748 [ACK] Seq=1 Ack=343 Win=64896 Len=0 TSval=4274463434 TSecr=3500050884"
"1677","44.328867","192.168.18.21","192.168.18.24","TCP","74","80  >  58844 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274463434 TSecr=3500050884 WS=128"
"1678","44.329121","192.168.18.24","192.168.18.21","TCP","66","58752  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500050884 TSecr=4274463429"
"1679","44.329121","192.168.18.24","192.168.18.21","HTTP","430","GET /?GaP2pD=YBAItRbnrFRcRhsv5l1H&rcb=jeX8tMK&11hYPl=Gmb7vdwok&PkS2=7ER311022Fu7iMJV8Sb8&U3eEGSSw=XgPrusNUCneG21F HTTP/1.1 "
"1680","44.329121","192.168.18.24","192.168.18.21","TCP","74","58852  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500050885 TSecr=0 WS=128"
"1681","44.329121","192.168.18.24","192.168.18.21","TCP","66","58760  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500050886 TSecr=4274463429"
"1682","44.329121","192.168.18.24","192.168.18.21","TCP","66","58770  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500050886 TSecr=4274463430"
"1683","44.329158","192.168.18.21","192.168.18.24","TCP","66","80  >  58752 [ACK] Seq=1 Ack=365 Win=64896 Len=0 TSval=4274463435 TSecr=3500050884"
"1684","44.329332","192.168.18.21","192.168.18.24","TCP","74","80  >  58852 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274463435 TSecr=3500050885 WS=128"
"1685","44.332809","192.168.18.24","192.168.18.21","HTTP","374","GET /?XWd5Y=ra6ynoYvGhqGhakwUIuV HTTP/1.1 "
"1686","44.332810","192.168.18.24","192.168.18.21","TCP","74","58866  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500050886 TSecr=0 WS=128"
"1687","44.332810","192.168.18.24","192.168.18.21","HTTP","753","GET /?xsGxcp=JiF&3SutySw3=O5Os&xtW8UgTae=UUQK5ljEuwiW1bJaVGKN&SyO=QYb&sJeYR3y=ibnmo6rEj4xL HTTP/1.1 "
"1688","44.332810","192.168.18.24","192.168.18.21","TCP","74","58876  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500050886 TSecr=0 WS=128"
"1689","44.332810","192.168.18.24","192.168.18.21","TCP","66","58774  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500050887 TSecr=4274463430"
"1690","44.332810","192.168.18.24","192.168.18.21","TCP","66","58790  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500050887 TSecr=4274463430"
"1691","44.332810","192.168.18.24","192.168.18.21","TCP","66","58804  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500050887 TSecr=4274463431"
"1692","44.332810","192.168.18.24","192.168.18.21","HTTP","619","GET /?epVoCfy=sL2rM3&SOn65yEMM=elblvJyFGJyGX7QENitm HTTP/1.1 "
"1693","44.332856","192.168.18.21","192.168.18.24","TCP","66","80  >  58760 [ACK] Seq=1 Ack=309 Win=64896 Len=0 TSval=4274463438 TSecr=3500050886"
"1694","44.333031","192.168.18.21","192.168.18.24","TCP","74","80  >  58866 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274463439 TSecr=3500050886 WS=128"
"1695","44.333199","192.168.18.21","192.168.18.24","TCP","66","80  >  58770 [ACK] Seq=1 Ack=688 Win=64512 Len=0 TSval=4274463439 TSecr=3500050886"
"1696","44.333330","192.168.18.21","192.168.18.24","TCP","74","80  >  58876 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274463439 TSecr=3500050886 WS=128"
"1697","44.333468","192.168.18.21","192.168.18.24","TCP","66","80  >  58804 [ACK] Seq=1 Ack=554 Win=64640 Len=0 TSval=4274463439 TSecr=3500050887"
"1698","44.333611","192.168.18.24","192.168.18.21","TCP","74","58892  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500050887 TSecr=0 WS=128"
"1699","44.333611","192.168.18.24","192.168.18.21","TCP","66","58818  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500050888 TSecr=4274463431"
"1700","44.333611","192.168.18.24","192.168.18.21","HTTP","475","GET /?Uhlx1=T8UIxDoJpOk2&F0TF8=rcAQt&J4c=h1o7b&JkSI=rRnS7505Y&HgYn=bW68gVsrk0dx HTTP/1.1 "
"1701","44.333611","192.168.18.24","192.168.18.21","HTTP","470","GET /?WmQv=mSFoiP3YFq&5hcXHk=llCjVJb&i0Bhuw=VfPkqlFkaal0xQf&Be8wdGO1s0=sNV07xn&7rVCsEpAF=GAruD7miUg2WuIlx0O HTTP/1.1 "
"1702","44.333611","192.168.18.24","192.168.18.21","TCP","74","58908  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500050888 TSecr=0 WS=128"
"1703","44.333611","192.168.18.24","192.168.18.21","HTTP","413","GET /?tCs6t=diedOjvjG0c&SfUITjEkOh=ABUtoygxiRJBREOH7&lAp1XkKL7G=MMQfUdINVK5YgvQvIS&o4a=NJMKWm4pWEX&uJkn2tq=GCbEpdwCd HTTP/1.1 "
"1704","44.333611","192.168.18.24","192.168.18.21","TCP","74","58924  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500050888 TSecr=0 WS=128"
"1705","44.333611","192.168.18.24","192.168.18.21","TCP","74","58928  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500050889 TSecr=0 WS=128"
"1706","44.333632","192.168.18.21","192.168.18.24","TCP","74","80  >  58892 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274463439 TSecr=3500050887 WS=128"
"1707","44.333772","192.168.18.21","192.168.18.24","TCP","66","80  >  58790 [ACK] Seq=1 Ack=410 Win=64768 Len=0 TSval=4274463439 TSecr=3500050888"
"1708","44.333911","192.168.18.21","192.168.18.24","TCP","66","80  >  58818 [ACK] Seq=1 Ack=405 Win=64768 Len=0 TSval=4274463440 TSecr=3500050888"
"1709","44.334043","192.168.18.21","192.168.18.24","TCP","74","80  >  58908 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274463440 TSecr=3500050888 WS=128"
"1710","44.334193","192.168.18.21","192.168.18.24","TCP","66","80  >  58774 [ACK] Seq=1 Ack=348 Win=64896 Len=0 TSval=4274463440 TSecr=3500050888"
"1711","44.334325","192.168.18.21","192.168.18.24","TCP","74","80  >  58924 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274463440 TSecr=3500050888 WS=128"
"1712","44.334474","192.168.18.21","192.168.18.24","TCP","74","80  >  58928 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274463440 TSecr=3500050889 WS=128"
"1713","44.334766","192.168.18.24","192.168.18.21","TCP","66","58832  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500050889 TSecr=4274463434"
"1714","44.334766","192.168.18.24","192.168.18.21","HTTP","436","GET /?jv2cPx=gDLRiKqeIEvVYphmw8b&hTlskJkl=jYVpGaN4&6VlWCUR=vdLFM3EN&6Mq5NR=tROaM5FeAgLGAq&7igpwSf=Wb2VawR2agJdJw6LOo HTTP/1.1 "
"1715","44.334766","192.168.18.24","192.168.18.21","TCP","74","58942  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500050890 TSecr=0 WS=128"
"1716","44.334766","192.168.18.24","192.168.18.21","TCP","74","58948  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500050890 TSecr=0 WS=128"
"1717","44.334795","192.168.18.21","192.168.18.24","TCP","66","80  >  58832 [ACK] Seq=1 Ack=371 Win=64896 Len=0 TSval=4274463440 TSecr=3500050889"
"1718","44.334930","192.168.18.21","192.168.18.24","TCP","74","80  >  58942 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274463441 TSecr=3500050890 WS=128"
"1719","44.335163","192.168.18.21","192.168.18.24","TCP","74","80  >  58948 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274463441 TSecr=3500050890 WS=128"
"1720","44.336071","192.168.18.24","192.168.18.21","TCP","66","58844  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500050892 TSecr=4274463434"
"1721","44.337336","192.168.18.24","192.168.18.21","TCP","66","58852  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500050892 TSecr=4274463435"
"1722","44.339601","192.168.18.24","192.168.18.21","HTTP","642","GET /?o1bMTweHk=Nmr7G2NwtpNWBO62&8QO=HCwQEaakAvgcQIr&LtucXdGnO=5dFL3X7dOQ0FWv&kt3y=rpaixBWf8oLx2&D8IA4Wr=XxvT4 HTTP/1.1 "
"1723","44.339601","192.168.18.24","192.168.18.21","TCP","74","58956  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500050892 TSecr=0 WS=128"
"1724","44.339601","192.168.18.24","192.168.18.21","HTTP","548","GET /?BRSxqSMYa=RcqICgHPHdpWiduw&r737NJmOx=6uI3c7kCTD7&XdX=V8hbP73a0Nw HTTP/1.1 "
"1725","44.339601","192.168.18.24","192.168.18.21","TCP","74","58966  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500050893 TSecr=0 WS=128"
"1726","44.339601","192.168.18.24","192.168.18.21","TCP","66","58866  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500050896 TSecr=4274463439"
"1727","44.339601","192.168.18.24","192.168.18.21","TCP","66","58876  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500050897 TSecr=4274463439"
"1728","44.339653","192.168.18.21","192.168.18.24","TCP","66","80  >  58844 [ACK] Seq=1 Ack=577 Win=64640 Len=0 TSval=4274463445 TSecr=3500050892"
"1729","44.339822","192.168.18.21","192.168.18.24","TCP","74","80  >  58956 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274463445 TSecr=3500050892 WS=128"
"1730","44.339958","192.168.18.21","192.168.18.24","TCP","66","80  >  58852 [ACK] Seq=1 Ack=483 Win=64768 Len=0 TSval=4274463446 TSecr=3500050892"
"1731","44.340096","192.168.18.21","192.168.18.24","TCP","74","80  >  58966 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274463446 TSecr=3500050893 WS=128"
"1732","44.340818","192.168.18.24","192.168.18.21","TCP","66","58892  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500050897 TSecr=4274463439"
"1733","44.340819","192.168.18.24","192.168.18.21","HTTP","451","GET /?rMp=GgXI&XtFf8omu=GTQFQIng HTTP/1.1 "
"1734","44.340819","192.168.18.24","192.168.18.21","HTTP","444","GET /?Q2lKVf5=cNxID&uUHV5=lp26&JTuMYlG=mFEpmagM83 HTTP/1.1 "
"1735","44.340819","192.168.18.24","192.168.18.21","TCP","74","58978  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500050897 TSecr=0 WS=128"
"1736","44.340847","192.168.18.21","192.168.18.24","TCP","66","80  >  58876 [ACK] Seq=1 Ack=386 Win=64896 Len=0 TSval=4274463446 TSecr=3500050897"
"1737","44.341008","192.168.18.21","192.168.18.24","TCP","66","80  >  58892 [ACK] Seq=1 Ack=379 Win=64896 Len=0 TSval=4274463447 TSecr=3500050897"
"1738","44.341135","192.168.18.21","192.168.18.24","TCP","74","80  >  58978 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274463447 TSecr=3500050897 WS=128"
"1739","44.341828","192.168.18.24","192.168.18.21","TCP","74","58980  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500050898 TSecr=0 WS=128"
"1740","44.341828","192.168.18.24","192.168.18.21","TCP","66","58908  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500050898 TSecr=4274463440"
"1741","44.341828","192.168.18.24","192.168.18.21","TCP","66","58924  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500050898 TSecr=4274463440"
"1742","44.341829","192.168.18.24","192.168.18.21","TCP","66","58928  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500050898 TSecr=4274463440"
"1743","44.341829","192.168.18.24","192.168.18.21","TCP","66","58942  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500050898 TSecr=4274463441"
"1744","44.341829","192.168.18.24","192.168.18.21","TCP","66","58948  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500050898 TSecr=4274463441"
"1745","44.341829","192.168.18.24","192.168.18.21","HTTP","493","GET /?0GWvP4=5AaygAqxXwq0&WTQmuISSr=NDTJ&QbPYVQT=qruDpyr1PfCivMCKXLF&QkWhtWqSqR=Kshk2LdplVGk1oniJuAL HTTP/1.1 "
"1746","44.341854","192.168.18.21","192.168.18.24","TCP","74","80  >  58980 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274463447 TSecr=3500050898 WS=128"
"1747","44.341999","192.168.18.21","192.168.18.24","TCP","66","80  >  58908 [ACK] Seq=1 Ack=428 Win=64768 Len=0 TSval=4274463448 TSecr=3500050898"
"1748","44.342705","192.168.18.24","192.168.18.21","TCP","74","58994  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500050898 TSecr=0 WS=128"
"1749","44.342705","192.168.18.24","192.168.18.21","HTTP","516","GET /?T1H5UW=1raqRV8P6aS&mFrh=SO2Qw1f4qaPf2L&2pc=3UovDa HTTP/1.1 "
"1750","44.342705","192.168.18.24","192.168.18.21","TCP","74","58998  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500050898 TSecr=0 WS=128"
"1751","44.342705","192.168.18.24","192.168.18.21","HTTP","560","GET /?bSoA2c3cF=VjKcQ7CckQwNsPe3 HTTP/1.1 "
"1752","44.342705","192.168.18.24","192.168.18.21","HTTP","417","GET /?osM=iEwYA2ebwfP&Upx4RQHN=aVds&uXQ=kg22BwkByt&IdrNV56Gj=AJ3H7GPlBshNESr86i HTTP/1.1 "
"1753","44.342729","192.168.18.21","192.168.18.24","TCP","74","80  >  58994 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274463448 TSecr=3500050898 WS=128"
"1754","44.342866","192.168.18.21","192.168.18.24","TCP","66","80  >  58924 [ACK] Seq=1 Ack=451 Win=64768 Len=0 TSval=4274463448 TSecr=3500050898"
"1755","44.342999","192.168.18.21","192.168.18.24","TCP","74","80  >  58998 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274463449 TSecr=3500050898 WS=128"
"1756","44.343214","192.168.18.21","192.168.18.24","TCP","66","80  >  58928 [ACK] Seq=1 Ack=495 Win=64768 Len=0 TSval=4274463449 TSecr=3500050899"
"1757","44.343379","192.168.18.21","192.168.18.24","TCP","66","80  >  58942 [ACK] Seq=1 Ack=352 Win=64896 Len=0 TSval=4274463449 TSecr=3500050899"
"1758","44.344197","192.168.18.24","192.168.18.21","TCP","74","59000  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500050899 TSecr=0 WS=128"
"1759","44.344197","192.168.18.24","192.168.18.21","HTTP","495","GET /?RqHVaRX=JDjv&EtNr=hk1NB4swoJauKe5aOH&dasyH=VjeLd2JQq3 HTTP/1.1 "
"1760","44.344197","192.168.18.24","192.168.18.21","TCP","74","59004  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500050899 TSecr=0 WS=128"
"1761","44.344197","192.168.18.24","192.168.18.21","HTTP","400","GET /?NDsOiVQGPv=3RPFq&dL1ki=C2imI8AVt4MoG&0XEkVB=IgliaJ&ahWhmYO8D=8CEMMAxT&aiMDW=SCTVSnOiY7S HTTP/1.1 "
"1762","44.344197","192.168.18.24","192.168.18.21","TCP","74","59018  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500050899 TSecr=0 WS=128"
"1763","44.344197","192.168.18.24","192.168.18.21","TCP","74","59030  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500050900 TSecr=0 WS=128"
"1764","44.344220","192.168.18.21","192.168.18.24","TCP","74","80  >  59000 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274463450 TSecr=3500050899 WS=128"
"1765","44.344357","192.168.18.21","192.168.18.24","TCP","66","80  >  58866 [ACK] Seq=1 Ack=430 Win=64768 Len=0 TSval=4274463450 TSecr=3500050899"
"1766","44.344488","192.168.18.21","192.168.18.24","TCP","74","80  >  59004 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274463450 TSecr=3500050899 WS=128"
"1767","44.344619","192.168.18.21","192.168.18.24","TCP","66","80  >  58948 [ACK] Seq=1 Ack=335 Win=64896 Len=0 TSval=4274463450 TSecr=3500050899"
"1768","44.344746","192.168.18.21","192.168.18.24","TCP","74","80  >  59018 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274463450 TSecr=3500050899 WS=128"
"1769","44.344897","192.168.18.21","192.168.18.24","TCP","74","80  >  59030 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274463451 TSecr=3500050900 WS=128"
"1770","44.347464","192.168.18.24","192.168.18.21","TCP","66","58956  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500050903 TSecr=4274463445"
"1771","44.347465","192.168.18.24","192.168.18.21","TCP","66","58966  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500050903 TSecr=4274463446"
"1772","44.347465","192.168.18.24","192.168.18.21","TCP","66","58978  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500050903 TSecr=4274463447"
"1773","44.347465","192.168.18.24","192.168.18.21","TCP","66","58980  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500050903 TSecr=4274463447"
"1774","44.347465","192.168.18.24","192.168.18.21","HTTP","512","GET /?3fuIdClA=C7U6&BtADW=LWy8TCgOGB72e4FFh&dgE66=q14TIEov6oUNVkdgulSm&KsNWmRfDd=OIn8RSYFh1qV8ni HTTP/1.1 "
"1775","44.347509","192.168.18.21","192.168.18.24","TCP","66","80  >  58956 [ACK] Seq=1 Ack=447 Win=64768 Len=0 TSval=4274463453 TSecr=3500050903"
