"No.","Time","Source","Destination","Protocol","Length","Info"
"133","24.866493","192.168.18.21","192.168.18.49","SSH","146","Server: Encrypted packet (len=92)"
"134","24.868021","192.168.18.21","192.168.18.49","SSH","90","Server: Encrypted packet (len=36)"
"135","24.872269","192.168.18.49","192.168.18.21","TCP","60","50641  >  22 [ACK] Seq=1 Ack=2241 Win=252 Len=0"
"136","24.907719","31.13.95.61","192.168.18.221","TCP","93","5222  >  52333 [PSH, ACK] Seq=1 Ack=1 Win=546 Len=39"
"137","24.908484","192.168.18.221","31.13.95.61","TCP","83","52333  >  5222 [PSH, ACK] Seq=1 Ack=40 Win=511 Len=29"
"138","24.915353","31.13.95.61","192.168.18.221","TCP","60","5222  >  52333 [ACK] Seq=40 Ack=30 Win=546 Len=0"
"139","26.122956","192.168.18.21","192.168.18.49","SSH","146","Server: Encrypted packet (len=92)"
"140","26.124456","192.168.18.21","192.168.18.49","SSH","90","Server: Encrypted packet (len=36)"
"141","26.128635","192.168.18.49","192.168.18.21","TCP","60","50641  >  22 [ACK] Seq=1 Ack=2369 Win=252 Len=0"
"143","27.265550","192.168.18.21","192.168.18.49","SSH","146","Server: Encrypted packet (len=92)"
"144","27.322847","192.168.18.49","192.168.18.21","TCP","60","50641  >  22 [ACK] Seq=1 Ack=2461 Win=252 Len=0"
"145","28.742121","192.168.18.21","192.168.18.49","SSH","146","Server: Encrypted packet (len=92)"
"146","28.788975","192.168.18.49","192.168.18.21","TCP","60","50641  >  22 [ACK] Seq=1 Ack=2553 Win=251 Len=0"
"153","30.191717","192.168.18.21","192.168.18.49","SSH","146","Server: Encrypted packet (len=92)"
"154","30.243315","192.168.18.49","192.168.18.21","TCP","60","50641  >  22 [ACK] Seq=1 Ack=2645 Win=251 Len=0"
"158","31.324204","192.168.18.21","192.168.18.49","SSH","146","Server: Encrypted packet (len=92)"
"159","31.377506","192.168.18.49","192.168.18.21","TCP","60","50641  >  22 [ACK] Seq=1 Ack=2737 Win=250 Len=0"
"162","32.455104","192.168.18.21","192.168.18.49","SSH","146","Server: Encrypted packet (len=92)"
"163","32.507543","192.168.18.49","192.168.18.21","TCP","60","50641  >  22 [ACK] Seq=1 Ack=2829 Win=250 Len=0"
"165","32.950498","195.128.248.23","192.168.18.221","TCP","409","82  >  49706 [PSH, ACK] Seq=356 Ack=1 Win=13 Len=355"
"166","32.991321","192.168.18.221","195.128.248.23","TCP","60","49706  >  82 [ACK] Seq=1 Ack=711 Win=508 Len=0"
"167","33.581693","192.168.18.21","192.168.18.49","SSH","146","Server: Encrypted packet (len=92)"
"168","33.625778","192.168.18.49","192.168.18.21","TCP","60","50641  >  22 [ACK] Seq=1 Ack=2921 Win=255 Len=0"
"169","34.721684","192.168.18.21","192.168.18.49","SSH","146","Server: Encrypted packet (len=92)"
"170","34.777258","192.168.18.49","192.168.18.21","TCP","60","50641  >  22 [ACK] Seq=1 Ack=3013 Win=255 Len=0"
"171","35.856659","192.168.18.21","192.168.18.49","SSH","146","Server: Encrypted packet (len=92)"
"172","35.915942","192.168.18.49","192.168.18.21","TCP","60","50641  >  22 [ACK] Seq=1 Ack=3105 Win=255 Len=0"
"173","36.994623","192.168.18.21","192.168.18.49","SSH","146","Server: Encrypted packet (len=92)"
"174","37.044450","192.168.18.49","192.168.18.21","TCP","60","50641  >  22 [ACK] Seq=1 Ack=3197 Win=254 Len=0"
"175","38.244673","192.168.18.21","192.168.18.49","SSH","146","Server: Encrypted packet (len=92)"
"176","38.298103","192.168.18.49","192.168.18.21","TCP","60","50641  >  22 [ACK] Seq=1 Ack=3289 Win=254 Len=0"
"178","39.401915","192.168.18.21","192.168.18.49","SSH","146","Server: Encrypted packet (len=92)"
"179","39.445821","192.168.18.49","192.168.18.21","TCP","60","50641  >  22 [ACK] Seq=1 Ack=3381 Win=254 Len=0"
"182","40.963599","192.168.18.21","192.168.18.49","SSH","146","Server: Encrypted packet (len=92)"
"183","41.014054","192.168.18.49","192.168.18.21","TCP","60","50641  >  22 [ACK] Seq=1 Ack=3473 Win=253 Len=0"
"187","42.122631","192.168.18.21","192.168.18.49","SSH","146","Server: Encrypted packet (len=92)"
"188","42.172831","192.168.18.49","192.168.18.21","TCP","60","50641  >  22 [ACK] Seq=1 Ack=3565 Win=253 Len=0"
"189","42.459544","2404:8000:1005:1a6e:7440:aac6:b318:f28d","2603:1061:13f0:6003::365:590","TLSv1.2","110","Application Data"
"190","42.531453","2603:1061:13f0:6003::365:590","2404:8000:1005:1a6e:7440:aac6:b318:f28d","TCP","74","443  >  51094 [ACK] Seq=1 Ack=37 Win=254 Len=0"
"191","42.575726","2603:1061:13f0:6003::365:590","2404:8000:1005:1a6e:7440:aac6:b318:f28d","TLSv1.2","106","Application Data"
"192","42.616245","2404:8000:1005:1a6e:7440:aac6:b318:f28d","2603:1061:13f0:6003::365:590","TCP","74","51094  >  443 [ACK] Seq=37 Ack=33 Win=515 Len=0"
"193","43.241418","192.168.18.21","192.168.18.49","SSH","146","Server: Encrypted packet (len=92)"
"194","43.290298","192.168.18.49","192.168.18.21","TCP","60","50641  >  22 [ACK] Seq=1 Ack=3657 Win=253 Len=0"
"195","43.925245","192.168.18.24","192.168.18.21","TCP","74","56294  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500050482 TSecr=0 WS=128"
"197","43.928049","192.168.18.24","192.168.18.21","TCP","74","56306  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500050486 TSecr=0 WS=128"
"198","43.939684","192.168.18.24","192.168.18.21","TCP","74","56310  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500050497 TSecr=0 WS=128"
"199","43.947067","192.168.18.24","192.168.18.21","TCP","74","56316  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500050505 TSecr=0 WS=128"
"200","43.950434","192.168.18.24","192.168.18.21","TCP","74","56322  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500050508 TSecr=0 WS=128"
"201","43.953677","192.168.18.24","192.168.18.21","TCP","74","56328  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500050511 TSecr=0 WS=128"
"202","43.955657","192.168.18.24","192.168.18.21","TCP","74","56342  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500050513 TSecr=0 WS=128"
"203","43.959176","192.168.18.24","192.168.18.21","TCP","74","56352  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500050516 TSecr=0 WS=128"
"204","43.961371","192.168.18.24","192.168.18.21","TCP","74","56358  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500050519 TSecr=0 WS=128"
"205","43.964118","192.168.18.24","192.168.18.21","TCP","74","56368  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500050522 TSecr=0 WS=128"
"207","43.991037","192.168.18.21","192.168.18.24","TCP","74","80  >  56294 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274463031 TSecr=3500050482 WS=128"
"208","43.991263","192.168.18.21","192.168.18.24","TCP","74","80  >  56306 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274463034 TSecr=3500050486 WS=128"
"209","43.991421","192.168.18.21","192.168.18.24","TCP","74","80  >  56310 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274463045 TSecr=3500050497 WS=128"
"210","43.991573","192.168.18.21","192.168.18.24","TCP","74","80  >  56316 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274463053 TSecr=3500050505 WS=128"
"211","43.991766","192.168.18.21","192.168.18.24","TCP","74","80  >  56322 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274463056 TSecr=3500050508 WS=128"
"212","43.991919","192.168.18.21","192.168.18.24","TCP","74","80  >  56328 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274463059 TSecr=3500050511 WS=128"
